Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
553,0.02,1608,2,500000.0,1.70413183499473
554,0.02,1610,2,500000.0,1.70523644878924
555,0.02,1612,2,500000.0,1.70760246617569
556,0.02,1614,2,500000.0,1.70871175498269
557,0.02,1616,2,500000.0,1.70982310133047
558,0.02,1618,2,500000.0,1.71093331264808
559,0.02,1620,2,500000.0,1.7120423565671
560,0.02,1622,2,500000.0,1.713153407462
561,0.02,1624,2,500000.0,1.71426324443028
562,0.02,1626,2,500000.0,1.71537506027559
563,0.02,1628,2,500000.0,1.71648561514854
564,0.02,1630,2,500000.0,1.71759812034631
565,0.02,1632,2,500000.0,1.71871257084265
566,0.02,1634,2,500000.0,1.71982569825891
567,0.02,1636,2,500000.0,1.72094074179651
568,0.02,1638,2,500000.0,1.72205441394641
569,0.02,1640,2,500000.0,1.72316997258232
570,0.02,1642,2,500000.0,1.72428741222392
571,0.02,1644,2,500000.0,1.7254034165603
572,0.02,1646,2,500000.0,1.72784786302655
573,0.02,1648,2,500000.0,1.72896805375016
574,0.02,1650,2,500000.0,1.73009007495967
