Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
535,0.05,1572,2,500000.0,1.68315941041203
536,0.05,1574,2,500000.0,1.68425152837438
537,0.05,1576,2,500000.0,1.68534296749524
538,0.05,1578,2,500000.0,1.68763420793944
539,0.05,1580,2,500000.0,1.68872777614473
540,0.05,1582,2,500000.0,1.68982661204537
541,0.05,1584,2,500000.0,1.69092469073647
542,0.05,1586,2,500000.0,1.69202198241605
543,0.05,1588,2,500000.0,1.69312149967812
544,0.05,1590,2,500000.0,1.69422018789828
545,0.05,1592,2,500000.0,1.69532107747228
546,0.05,1594,2,500000.0,1.69642109546972
547,0.05,1596,2,500000.0,1.69752021135639
548,0.05,1598,2,500000.0,1.6986214823262
549,0.05,1600,2,500000.0,1.69972180784833
550,0.05,1602,2,500000.0,1.70082426307364
551,0.05,1604,2,500000.0,1.70192572900666
552,0.05,1606,2,500000.0,1.70302929882373
553,0.05,1608,2,500000.0,1.70413183499473
554,0.05,1610,2,500000.0,1.70523644878924
555,0.05,1612,2,500000.0,1.70760246617569
556,0.05,1614,2,500000.0,1.70871175498269
557,0.05,1616,2,500000.0,1.70982310133047
558,0.05,1618,2,500000.0,1.71093331264808
559,0.05,1620,2,500000.0,1.7120423565671
560,0.05,1622,2,500000.0,1.713153407462
561,0.05,1624,2,500000.0,1.71426324443028
562,0.05,1626,2,500000.0,1.71537506027559
563,0.05,1628,2,500000.0,1.71648561514854
564,0.05,1630,2,500000.0,1.71759812034631
565,0.05,1632,2,500000.0,1.71871257084265
566,0.05,1634,2,500000.0,1.71982569825891
567,0.05,1636,2,500000.0,1.72094074179651
568,0.05,1638,2,500000.0,1.72205441394641
569,0.05,1640,2,500000.0,1.72316997258232
570,0.05,1642,2,500000.0,1.72428741222392
571,0.05,1644,2,500000.0,1.7254034165603
572,0.05,1646,2,500000.0,1.72784786302655
573,0.05,1648,2,500000.0,1.72896805375016
574,0.05,1650,2,500000.0,1.73009007495967
